conm,gvkey,fyear,sale,ni,at,revenue_growth,profit_margin,roa,net_income_growth
FORD MOTOR CO,004839,2019,155900.0000,47.0000,258537.0000,,0.0003014753046824887748556767158,0.0001817921612767224807280969455,
FORD MOTOR CO,004839,2020,127144.0000,-1279.0000,267261.0000,-0.1844515715202052597819114817,-0.01005946013968413767067262317,-0.004785584129371662906297589248,-28.21276595744680851063829787
FORD MOTOR CO,004839,2021,136341.0000,17937.0000,257035.0000,0.072335304851192348832819480,0.1315598389332629216449930688,0.06978427062462310580271169296,-15.02423768569194683346364347
FORD MOTOR CO,004839,2022,158057.0000,-1981.0000,255884.0000,0.159277106666373284631915565,-0.01253345312134230056245531675,-0.007741789248253114692595082147,-1.110442102915760718068796343
FORD MOTOR CO,004839,2023,176191.0000,4347.0000,273310.0000,0.114730761687239413629260330,0.02467208881270893518965213887,0.01590501628187772126888880758,-3.194346289752650176678445230
FORD MOTOR CO,004839,2024,184992.0000,5879.0000,285196.0000,0.049951473117242083874885777,0.03177975263795191143400795710,0.02061389360299583444368083704,0.352426961122613296526340005
FORD MOTOR CO,004839,2025,187267.0000,-8182.0000,289160.0000,0.012297829095312229718041861,-0.04369162746239326736691461923,-0.02829575321621247752109558722,-2.391733287974145262799795884
GENERAL MOTORS CO,005073,2019,137237.0000,6732.0000,228037.0000,,0.04905382659195406486588893666,0.02952152501567728044133188912,
GENERAL MOTORS CO,005073,2020,122485.0000,6427.0000,235194.0000,-0.1074928772852802086900762914,0.05247173123239580356778381026,0.02732637737357245507963638528,-0.0453060011883541295306001188
GENERAL MOTORS CO,005073,2021,127004.0000,10019.0000,244718.0000,0.036894313589419112544393191,0.07888727914081446253661302006,0.04094100147925367157299422192,0.558892173642445931227633422
GENERAL MOTORS CO,005073,2022,156735.0000,9934.0000,264037.0000,0.234094989134200497622122138,0.06338086579257983220084856605,0.03762351488617125630120021058,-0.0084838806268090627807166384
GENERAL MOTORS CO,005073,2023,171842.0000,10127.0000,273064.0000,0.096385619038504482087600089,0.05893204222483444093993319445,0.03708654381390443266047519995,0.019428226293537346486812966
GENERAL MOTORS CO,005073,2024,187442.0000,6008.0000,279761.0000,0.090781066328371410947265511,0.03205258159857449237630840473,0.02147547370791497027820175078,-0.4067344722030216253579539844
GENERAL MOTORS CO,005073,2025,185019.0000,2697.0000,281284.0000,-0.0129266653151374825279286393,0.01457688129327258281581891590,0.009588174229604243398131425890,-0.5510985352862849533954727031
TESLA INC,184996,2019,24578.0000,-862.0000,34309.0000,,-0.03507201562372853771665717308,-0.02512460287388148882217493952,
TESLA INC,184996,2020,31536.0000,721.0000,52148.0000,0.283098706159980470339327854,0.02286276002029426686960933536,0.01382603359668635422259722329,-1.836426914153132250580046404
TESLA INC,184996,2021,53823.0000,5519.0000,62131.0000,0.706716133942161339421613394,0.1025398064024673466733552570,0.08882844312822906439619513608,6.654646324549237170596393897
TESLA INC,184996,2022,81462.0000,12556.0000,82338.0000,0.513516526392062872749568029,0.1541332154869755223294296727,0.1524933809419709004347931696,1.275049827867367276680558072
TESLA INC,184996,2023,96773.0000,14997.0000,106618.0000,0.187952665046279246765362991,0.1549709113079061308422803881,0.1406610516047946875762066443,0.194409047467346288626951258
TESLA INC,184996,2024,97690.0000,7091.0000,122070.0000,0.009475783534663594184328273,0.07258675401781144436482751561,0.05808962070942901613828131400,-0.5271721010868840434753617390
TESLA INC,184996,2025,94827.0000,3794.0000,137806.0000,-0.0293069915037363087317023237,0.04000970187815706497094709313,0.02753145726601163955125321104,-0.4649555774925962487660414610
